date,fishoil_price_peru,fish_price_global,rapeseedoil_price_global,fishmeal_price_peru,peanutoil_price_global,soybeanoil_price_global,sunfloweroil_price_global,temperature_peru,precipitation_peru,fish_production_peru,fish_human_consumption_peru,fish_industrial_consumption_peru,gdp,fishmeal_price_hamburg,fishoil_export_peru,fishoil_fob_peru,fishoil_utilization_indicators,fishing_hours_peru
,peru fish oil price (US$ per ton),global fish price usdpmt,rapeseed oil usdptm,fishmeal peru usdptm,peanut oil usdptm,soybean oil usdptm,sunflower oil usdptm,celcius,celcius,Fishing production continental fishing peru in 1000 metric ton,Human consumption fish peru in 1000 metric ton,Industrial consumption anchovy peru in 1000 metric ton,"Some kind of index, unsure.",Fishmeal price per ton in Hamburg,Export of fish oil in peru in 1000 metric ton,Free on board (FOB meaning all costs included to get it on the ship ready to leave) export value of fish oil in Peru in million usd,Indirect indicators of the utilization rate of the installed capacity of the manufacturing sector,manually extracted from global fishing watch map
2022-06-01,,,"2000,53","1608,06","2146,19","1751,76","1884,59",,,,,,,"1741,36",,,,
2022-05-01,,,"2218,45","1634,21","2146,29","1962,88","2079,30",,,"5,20","30,49","1069,43","176,83","1763,18",,,"60,67","893554,00"
2022-04-01,,,"2266,17","1643,39","2145,25","1947,51","2275,76",,,"5,00","37,15","26,11","54,75","1740,48",,,"1,51","919581,00"
2022-03-01,,,"2162,30","1514,62","2153,15","1956,88","2361,13",,,"4,90","34,57","37,02","56,75","1694,78",,,"2,09","1048627,00"
2022-02-01,,,"1744,20","1445,25","2473,10","1595,74","1499,12",,,"4,80","32,46","41,52","70,25","1660,00",,,"2,30","1066143,00"
2022-01-01,,,"1865,36","1428,56","2489,88","1469,56","1411,73",,,"4,90","35,13","111,13","93,87","1647,14",,,"6,73","1323115,00"
2021-12-01,"2907,30",,"1742,50","1422,52","2154,06","1411,21","1361,83","20,56","157,86","5,80","33,97","1082,07","194,30","1630,87","5,75","16,71","63,54","1441570,00"
2021-11-01,"3074,30","6,56","1825,34","1439,66","2150,21","1442,96","1415,62","20,42","137,36","5,80","32,41","917,78","168,51","1600,91","6,69","20,55","51,51","1406610,00"
2021-10-01,"2641,10","6,69","1795,17","1461,66","2133,67","1483,52","1420,53","20,01","114,61","5,80","32,12","1,26","49,26","1600,00","9,30","24,56","0,06","1338021,00"
2021-09-01,"2761,90","6,17","1629,14","1483,27","2109,02","1398,75","1309,52","20,05","64,80","5,60","27,83","0,12","37,47","1600,00","13,46","37,17","0,01","1431832,00"
2021-08-01,"2237,20","6,62","1519,19","1504,12","2102,29","1433,94","1355,69","19,44","53,05","5,30","27,05","2,53","42,79","1602,73","30,12","67,39","0,14","1383891,00"
2021-07-01,"2393,20","7,15","1410,08","1504,13","2092,19","1468,34","1282,01","19,02","43,72","5,20","28,35","197,47","66,00","1618,18","34,76","83,19","11,83","1342433,00"
