date,fishoil_price_peru,fish_price_global,rapeseedoil_price_global,fishmeal_price_peru,peanutoil_price_global,soybeanoil_price_global,sunfloweroil_price_global,temperature_peru,precipitation_peru,fish_production_peru,fish_human_consumption_peru,fish_industrial_consumption_peru,gdp,fishmeal_price_hamburg,fishoil_export_peru,fishoil_fob_peru,fishoil_utilization_indicators,fishing_hours_peru
2022-06-01,0.0,0.0,2000.53,1608.06,2146.19,1751.76,1884.59,0.0,0.0,0.0,0.0,0.0,0.0,1741.36,0.0,0.0,0.0,0.0
2022-05-01,0.0,0.0,2218.45,1634.21,2146.29,1962.88,2079.3,0.0,0.0,5.2,30.49,1069.43,176.83,1763.18,0.0,0.0,60.67,893554.0
2022-04-01,0.0,0.0,2266.17,1643.39,2145.25,1947.51,2275.76,0.0,0.0,5.0,37.15,26.11,54.75,1740.48,0.0,0.0,1.51,919581.0
2022-03-01,0.0,0.0,2162.3,1514.62,2153.15,1956.88,2361.13,0.0,0.0,4.9,34.57,37.02,56.75,1694.78,0.0,0.0,2.09,1048627.0
2022-02-01,0.0,0.0,1744.2,1445.25,2473.1,1595.74,1499.12,0.0,0.0,4.8,32.46,41.52,70.25,1660.0,0.0,0.0,2.3,1066143.0
2022-01-01,0.0,0.0,1865.36,1428.56,2489.88,1469.56,1411.73,0.0,0.0,4.9,35.13,111.13,93.87,1647.14,0.0,0.0,6.73,1323115.0
2021-12-01,2907.3,0.0,1742.5,1422.52,2154.06,1411.21,1361.83,20.56,157.86,5.8,33.97,1082.07,194.3,1630.87,5.75,16.71,63.54,1441570.0
2021-11-01,3074.3,6.56,1825.34,1439.66,2150.21,1442.96,1415.62,20.42,137.36,5.8,32.41,917.78,168.51,1600.91,6.69,20.55,51.51,1406610.0
2021-10-01,2641.1,6.69,1795.17,1461.66,2133.67,1483.52,1420.53,20.01,114.61,5.8,32.12,1.26,49.26,1600.0,9.3,24.56,0.06,1338021.0
2021-09-01,2761.9,6.17,1629.14,1483.27,2109.02,1398.75,1309.52,20.05,64.8,5.6,27.83,0.12,37.47,1600.0,13.46,37.17,0.01,1431832.0
