,weekly_fish_landings,fishoil_price_omega3,fishoil_price_aquagrade,fishmeal_price_super_prime,fishoil_production_peru_nc,fishmeal_production_peru_nc,fishoil_production_nc_computed,fishoil_production_south_computed,indicator_temperature_cold,indicator_temperature_low,average_last_week_yield_nc,average_season_yield_nc,average_season_yield_south,epa_lower_bound,epa_upper_bound,dha_lower_bound,dha_upper_bound,quota_nc,caught_nc,quota_fulfilled_nc,quota_south,caught_south,quota_fulfilled_south,expected_weeks_until_opening_nc,expected_weeks_until_opening_south
0,3000.0,3600.0,3300.0,1810.0,100.0,750.0,0.0,2.42,0.0,1.0,0.0,0.0,0.022,13.33333333,12.0,12.0,15.66666667,0.0,0.0,0.0,0.49,0.11,0.226,3.0,0.0
1,10000.0,3600.0,3300.0,1810.0,200.0,2500.0,0.0,2.64,0.0,1.0,0.0,0.0,0.022,14.0,16.0,12.0,15.0,0.0,0.0,0.0,0.49,0.12,0.247,2.0,0.0
2,4500.0,3600.0,3300.0,1810.0,100.0,1100.0,0.0,2.86,0.0,1.0,0.0,0.0,0.022,14.66666667,20.0,12.0,14.33333333,0.0,0.0,0.0,0.49,0.13,0.267,2.0,0.0
3,5000.0,3600.0,3300.0,1810.0,100.0,1200.0,0.0,3.124,0.0,1.0,0.0,0.0,0.022,15.33333333,24.0,12.0,13.66666667,0.0,0.0,0.0,0.49,0.14,0.292,1.0,0.0
4,200000.0,3600.0,3300.0,1810.0,3750.0,48000.0,55.84,3.2142,0.0,1.0,0.019,0.02,0.022,16.0,28.0,12.0,13.0,2.79,0.0518,0.019,0.49,0.15,0.3,0.0,0.0
5,268000.0,3600.0,3300.0,1810.0,2650.0,64000.0,41.88,3.4254,0.0,1.0,0.015,0.015,0.022,18.0,20.0,12.0,13.0,2.79,0.3191,0.114,0.49,0.16,0.32,0.0,0.0
6,192000.0,3600.0,3300.0,1750.0,6250.0,48200.0,47.464,3.608,0.0,1.0,0.028,0.017,0.022,18.0,20.0,10.0,12.0,2.79,0.5663,0.203,0.49,0.16,0.337,0.0,0.0
7,265000.0,3600.0,3300.0,1750.0,9000.0,63000.0,64.216,3.6806,0.0,1.0,0.0335,0.023,0.022,15.0,17.0,10.0,12.0,2.79,0.7615,0.273,0.49,0.17,0.344,0.0,0.0
8,313000.0,3700.0,3300.0,1750.0,12000.0,73000.0,69.8,3.8566,0.0,1.0,0.039,0.025,0.022,15.0,17.0,10.0,12.0,2.79,1.1243,0.403,0.49,0.18,0.36,0.0,0.0
9,280000.0,4200.0,3700.0,1750.0,11500.0,65000.0,78.176,4.087125,0.0,1.0,0.037,0.028,0.0225,15.0,17.0,10.0,12.0,2.79,1.4074,0.504,0.49,0.18,0.373,0.0,0.0
10,334000.0,4200.0,3700.0,1780.0,11000.0,74000.0,86.552,4.324,0.0,1.0,0.035,0.031,0.023,15.0,17.0,10.0,12.0,2.79,1.6905,0.605,0.49,0.19,0.386,0.0,0.0
11,107000.0,4200.0,3700.0,1780.0,3000.0,25000.0,86.552,4.6,1.0,0.0,0.03,0.031,0.023,15.0,17.0,10.0,12.0,2.79,1.94,0.695,0.49,0.2,0.411,0.0,1.0
12,100000.0,4300.0,3700.0,1800.0,2800.0,23000.0,86.552,4.6,1.0,0.0,0.03,0.031,0.023,16.5,18.5,10.0,12.0,2.79,2.1133,0.757,0.49,0.2,0.411,0.0,1.0
13,145000.0,4400.0,3900.0,1800.0,5000.0,35000.0,86.552,4.6483,1.0,0.0,0.03,0.031,0.023,18.0,20.0,10.0,12.0,2.79,2.24,0.802,0.49,0.2,0.415,0.0,0.0
