date,fishoil_price_peru,rapeseedoil_price_global,fishmeal_price_peru,peanutoil_price_global,soybeanoil_price_global,sunfloweroil_price_global,temperature_peru,precipitation_peru,fish_production_peru,fish_human_consumption_peru,fish_industrial_consumption_peru,gdp,fishoil_export_peru,fishoil_fob_peru,fishoil_utilization_indicators
01-12-21,2907.3,1742.5,1422.52,2154.06,1411.21,1361.83,20.56,157.86,5.8,33.97,1082.07,194.3,5.75,16.71,63.54
01-11-21,3074.3,1825.34,1439.66,2150.21,1442.96,1415.62,20.42,137.36,5.8,32.41,917.78,168.51,6.69,20.55,51.51
01-10-21,2641.1,1795.17,1461.66,2133.67,1483.52,1420.53,20.01,114.61,5.8,32.12,1.26,49.26,9.3,24.56,0.06
01-09-21,2761.9,1629.14,1483.27,2109.02,1398.75,1309.52,20.05,64.8,5.6,27.83,0.12,37.47,13.46,37.17,0.01
01-08-21,2237.2,1519.19,1504.12,2102.29,1433.94,1355.69,19.44,53.05,5.3,27.05,2.53,42.79,30.12,67.39,0.14
01-07-21,2393.2,1410.08,1504.13,2092.19,1468.34,1282.01,19.02,43.72,5.2,28.35,197.47,66,34.76,83.19,11.83
01-06-21,2555.3,1527.59,1502.27,2078.83,1518.16,1375.09,18.29,86.45,5.6,27.11,720.03,132.85,9.29,23.74,43.38
01-05-21,2270.7,1560.25,1514.47,2072.04,1568.65,1680.32,19.31,119.99,5.2,30.3,1324.19,212.1,14.52,32.97,79.03
01-04-21,2244.1,1275.82,1487.25,2020.64,1400.75,1667.82,20.12,146.73,4.8,30.83,304.89,87.54,17.06,38.27,17.33
01-03-21,2139.6,1321.88,1476.34,2006.04,1284.81,1708.44,20.13,208.26,4.2,35.85,68.08,75.76,26.66,57.03,3.88
01-02-21,2094.3,1272.13,1479.18,1993.21,1123.5,1444.89,19.75,175.74,3.8,37.14,35.53,89.01,50.35,105.46,1.92
01-01-21,2876.4,1138.24,1497.16,1988.94,1101.47,1353.21,20.33,189.14,3.2,38.5,516.96,134.61,8.93,25.7,32.77
01-12-20,2749.4,1097.63,1497.69,1977.17,1026.2,1240.71,20.34,159.7,3.08,37.12,1226.44,222.32,8.29,22.78,79.36
01-11-20,2777.5,1047.78,1442.77,1878.61,973.88,1176.12,20.4,130.47,3.44,38,713.96,149.08,4.75,13.18,42.11
01-10-20,2367.1,927.71,1438.22,1877.59,914.77,1040.69,20.29,120.79,4.51,39.5,1.02,73.68,24.37,57.68,0.06
01-09-20,2512.5,938.14,1470.95,1880.71,905.86,1041.73,19.52,101.46,4.34,33.58,0.51,61.6,14.1,35.41,0.03
01-08-20,2219.6,921.55,1479.92,1876.96,866.94,877.14,19.07,67.41,5.48,31.86,0.28,61.07,24.98,55.44,0.02
01-07-20,2666.8,890.21,1486.92,1876.87,821.11,833.17,18.81,97.47,5.01,27.14,489.06,112.61,17.56,46.84,29.26
01-06-20,3384.5,850.98,1451.36,1712.82,755.71,788.36,18.72,87.49,6.79,22.48,1330.85,213.22,3.51,11.87,78.2
